,original,paraphrase,transformer
420,"»Žejni smo, pa smo malo ustavili,« je rekel Repovž.","""Žejni smo, zato smo se malo ustavili,"" je dejal Repovž.","<pad> ""Žejni smo, pa smo malo ustavili,"" je rekel Repovž.</s>"
421,"Sadarjev bratranec je jezno pljunil in stopil k Repovžu: »Veš kaj, Repovž, ko začnejo stare babe skakat po mizah, je pa počasi vsega dosti.«","Sadarjev bratranec jezno pljuskal in se sprehodil do Repovža: ""Saj veš kaj, Repovž, ko stare piške začnejo skakati po mizah, ampak počasi je dovolj.""","<pad> Sadarjev bratranec je pljunil in stopil k Repovžu: ""Veš"
422,"Repovž je uvidel, da nadaljnja ustavnopravna razprava z Vogarškovko nima smisla, zato je poiskal mladega Sadarja, da bi zapregel koleselj. Sadar je bil takoj za to. Čez glavo je bil sit objemanja in prepevanja z najstarejšim Ogrizkovim, ki je bilo sledilo pretepu, in užaljene Marjane, ki je za sosednjo mizo kuhala mulo, ker se nobeden od obeh petelinov ni več zmenil zanjo.","Repovž je videl, da nima smisla v nadaljnji ustavni razpravi z Vogarškovko, zato je iskal mladega Sadarja, da zapre kolo. Sadar je bil takoj za. Bil je naveličan in utrujen od objemanja in petja z najstarejšo Ogrizkovko, ki je sledila boju, in užalil Marjane, ki je kuhala mulo za sosednjo mizo, ker nobeden od obeh petelinov ni bil pozoren nanjo.","<pad> Repovž je uvidel, da nadaljnja ustavna razprava z Vogarškovko nima smisla"
423,"Bili so štirje, vsi v zlikanih svetlomodrih uniformah s častniškimi našitki. Čez stole so bili vrgli dolge rjave usnjene plašče. Na mizi so imeli zaboj z buteljkami in dve dolgi debeli salami, pravi ogrski. Gostilničar jim je kdaj pa kdaj prinesel kruh, čebulo, vložene kumarice, sicer pa so skrbeli sami zase.","Tam so bili štirje, vsi v zlikanih svetlo modrih uniformah s častniškimi črtami, čez stole so metali dolge rjave usnjene plašče, na mizi so imeli škatlo s steklenicami in dve debeli salami, pravo madžarsko salamo. Od časa do časa jim je gostilničar prinesel kruh, čebulo, vložene kumarice in drugače poskrbel zase.","<pad> Bili so štirje, vsi v zlikanih svetlomodrih uniformah s častniškimi naši"
424,Po tedanjih cestah je bilo to neznansko dolgo potovanje.,To je bilo neizmerno dolgo potovanje po dnevnih cestah.,<pad> Po tedanjih cestah je bilo to neznansko dolgo potovanje.</s>
425,"Ja, ampak nazaj ju pač ne morejo peljati, to bi trajalo cel jutrišnji dan, in kako naj bi to sploh opravičili, kam bi zapisali tako vožnjo?","ja, ampak jih preprosto ne more vzeti nazaj, da bi trajalo vse jutri, in kako smo naj bi upravičila, da, kje napisati takšno vožnjo?","<pad> Ja, ampak nazaj ju ne morejo peljati, to bi trajalo cel dan, in kako naj"
426,"Upravitelj ni nikjer dobil igre, v kateri na koncu nastopi sveti Miklavž. Tudi v Ljubljano je pisal, vendar so bili najbrž vsi pisatelji ali na sestankih ali pa tako zaposleni z obiskovanjem in opisovanjem udarniških, sečnih, mladinskih in drugih brigad, da mu niti odgovorili niso. Zatorej ni ostalo nič drugega, kot da je Podravčev študent sedel in igro napisal. Upravitelj nad igro ni bil navdušen, vendar mu je bila od vseh, kar jih je dobil podobnih v roke pri prosvetni oblasti na okraju in na okrožju, še najbolj všeč, saj je bilo v njej vse, kar je bilo potrebno: hrabri partizani, podli izdajalec, krvava bitka, velika zmaga in na koncu sveti Miklavž.","Vodja ni dobil nikjer igro, v kateri se pojavi Miklavž na koncu. Pisal je tudi v Ljubljani, vendar verjetno vsi pisatelji ali na sestankih ali tako zaseden obisk in opisuje šok, urinarni, mladine in drugih brigad, ki niso odgovorili na njega. Zato, nič ni ostalo, ampak da je Podravc študent sedel in napisal igro. Upravitelj ni bil navdušen nad igro, ampak od vseh, ki je dobil svoje roke v rokah izobraževalnih organov v okrožju in v okrožju, mu je bilo najbolj všeč, ker je bilo vse, kar je potrebno pogumno zabavo, umazana, krvava bitka, velika zmaga in končno St. Nicholas.","<pad> Upravitelj ni nikjer dobil igre, v kateri na koncu nastopi sveti Miklavž. Tudi v Ljubljano"
427,"Upravitelj je odprl okno za odrom, kar se je iz dvorane videlo po tem, da so stranske zavese na odru v prepihu zavihrale, zbral iz svojih spominov na predvojno služenje roka v kraljevi vojski vse kasarniške psovke, ki se jih je kot rezervni narednik mogel spomniti, in kričal ven na vrt, naposled pa v strelce v sadovnjaku zalučal še svojo svetilko, da so vendarle prenehali in so sovražniki na odru lahko v drugo in dokončno omahnili in umrli.","Upravitelj odprl okno za fazo, ki bi jih lahko videli iz dvorane, kot so stranske zavese na odru plapolajo v osnutkih, zbrani iz njegovih spominov na predvojne službe strani v kraljevi vojski vse kasače psovke, da je, kot rezervni narednik, se lahko spomnite, kričal ven na vrt, in končno vrgel svojo svetilko v strelce v sadovnjaku, tako da se je končno ustavil, tako da bi lahko sovražniki na odru zdrsne v drugo in končno in umre.","<pad> Upravitelj je odprl okno za odrom, kar se je iz dvorane videlo po tem, da"
428,"»Tovariši in tovarišice,« je začel nebeški odposlanec, ampak že prve besede mu je prerezalo veselo ploskanje. Zelo nesvetniško je vzdignil pesti in zagrozil občinstvu, ki mu je odgovorilo s še močnejšim smehom. Ko je naposled le prišel do besede, je bil že močno zlovoljen, zato je povedal svoj govor precej drugače, kakor je bilo predvideno.","""Tovariši in tovariši "", je začel nebeški odposlanec, vendar so bile njegove prve besede prerezane z veselim aplavzom, dvignil je pesti na zelo nepravičen način in grozil občinstvu, ki se je odzvalo s še močnejšim smehom.Ko je končno prišel do besede, je bil že zelo godrnjav, zato je svoj govor povedal precej drugače, kot je nameraval.","<pad> ""Tovariši in tovarišice,"" je začel nebeški odposlanec, ki je začel"
429,"Skrivnost je ostalo tudi vse, kar so Repovžu rekli na okraju in okrožju nekaj dni po tem miklavževanju, ki je naglo postalo znamenito daleč naokrog. Zvedelo se je samo to, da so mu vpisali nekakšen ukor v njegovo rdečo legitimacijo in da je le malo manjkalo, pa bi mu bili tisto knjižico vzeli.","Vse, kar je bil Repovž povedal v okraju in v okraju nekaj dni po tem chaptalisation, ki je hitro postal znan, ostala skrivnost, le da bi ugotovili, da je bil predmet neke vrste ukor v svoji rdeči legitimiranju in da je bil skoraj manjka, ampak da knjižica bi bila odvzeta.","<pad> Skrivnost je ostala tudi vse, kar so Repovžu rekli na okraju in okrožju"
430,"Upravitelj je našel Finžgarjevega Divjega lovca: »Tudi v tej igri so naši kraji okupirani in žandarji novačijo naše fante, ki pa gredo rajši v hosto kakor v cesarsko vojsko. V hosti sicer ne postanejo partizani, temveč skrivači, vendar je to za tiste čase razumljivo, saj ni bilo pravega vodstva, ki bi znalo narediti iz skrivačev partizane.« Tako je šolski upravitelj utemeljil svoj repertoarni izbor. ","Menedžer je našel Finžgarjevega Divjega lovca: ""Tudi v tej igri so naši kraji zasedeni. Žandarji novačijo naše fante, ki gredo raje v vojsko kot pa v vojsko. Pri gostitelju ne postanejo partizani, ampak korektorji, vendar je to za tiste čase razumljivo, saj ni bilo pravega vodstva, ki bi lahko iz partizanov izvabilo plenilce."" Tako je šolski upravnik osnoval svoj repertoar.","<pad> Upravitelj je našel Finžgarjevega Divjega lovca: ""V tej igri so naši"
431,"Začelo se je v prizoru, ko so Jumbovi terenci v narodnih nošah ubrano peli, na odru pa se je počasi temnilo in je na ljubo domačo deželo, to je na plahto v ozadju, poslikano z griči in cerkvicami, padal večerni mrak. Med blagoglasnim petjem je za odrom nenadoma močno počilo in izza kulis je priletel po zraku s hrbtom naprej mladi Sadar. Padel je fantom na vasi pred noge, s polovico svojega skoraj ta pravega reostata, od katerega je še curljala voda, in z nekaj metri kabla v rokah, tresoč se po vsem telesu od električnega udarca. Streljanja vajeni pa tudi v petju že kar dobro izurjeni, so fantje nemoteno peli naprej, Sadar pa je sedel sredi odra in strmel v železje in kable v svojih rokah. Nakar se je vzdignil in, ne da bi se zmenil za dogajanje na odru ali za občinstvo v dvorani, zamišljen v svojo elektriko odšel nazaj za kulise. Kmalu zatem, fantom je bilo treba samo dvakrat ponoviti zadnjo kitico, se je luč spet prižgala na vso moč, potem pa počasi pojemala in ugašala, kakor je bilo predvideno, in po vsej dvorani je zašumelo občudovanje, češ, Sadar je pa tič, glej, kako naglo je znal popraviti svoj nevarni stroj.","Začelo se je s prizorom Jumbovega SUV-a, ki je pel v narodnih nošah v sozvočju, toda na odru se je noč počasi spremenila v temo in država Jumbovega doma, to je, senca v ozadju, pobarvana s hribi in cerkvami, padla je večerna tema. Nenadoma je za odrom, je bil glasen izbruh, in izza setov je mladi Sadar letel po zraku s hrbtom v zrak. Padel je pred noge v vasi, s polovico svojega skoraj resničnega reostata, iz katerega je še vedno kapljala voda, in z nekaj metrov kabla, ki se je tresel v rokah, po vsem telesu zaradi električnega udara. Sadar sedel na sredini odra in strmel na železo in kablov v rokah. Nato je vstal in, ignorirajo dogodke na odru ali za občinstvo v dvorani, premišljen v svoji elektriki šel nazaj na kulise. Potem so fantje imeli le ponoviti zadnjo vrstico dvakrat, svetloba obrnil nazaj na enkrat, in nato počasi zbledela in ugasnila, kot je bilo predvideno, in po vsej dvorani je bil mrmranje občudovanja, rekoč Sadar je kurac, videli, kako hitro je bil sposoben popraviti svoj nevaren stroj.","<pad> Začelo se je v prizoru, ko so Jumbovi terenci v narodnih nošah"
432,"V naslednjem prizoru se vaščani pred kovačijo ne le sporečejo, temveč tudi stepejo. Pretep je bil zelo dobro zrežiran, ena od mojstrovin predstave. Na vrhuncu pretepa je nekdo prijel kovačevo težko macolo in zamahnil z njo, vtem pa mu je skočil za hrbet berač Tonček in mu jo od zadaj izvil iz rok, da naredi pretepu konec. Berača je igral režiser Lipar sam, odet v skuštrano lasuljo in razcapano obleko, z malho čez rame in bos.","V naslednjem prizoru so se vaščani ne samo borili pred kovačijo, ampak tudi borili. Boj je bil zelo dobro orkestriran, ena od mojstrovin predstave. Na vrhuncu boja je nekdo zgrabil kovačevo težko makrolo in jo mahal, nato pa je Tonček skočil za njegov hrbet in ga od zadaj zvil iz rok, da bi končal boj. Beračo je igral režiser Lipar sam, oblečen v kuhano lasuljo in raztrgano obleko, z malo čez ramo in bosom.","<pad> V naslednjem prizoru se vaščani pred kovačijo ne le spočejo, ampak tudi stepe"
433,"Iz dvorane je bila stvar videti takole: biriči so ustrelili, močno je počilo, se pokadilo in zasmrdelo po smodniku, oder je pokril omet in prah, divji lovec Janez je omahnil in padel v prepad, nekdo drug je v prepadu nečloveško zatulil, kakor da ga dajejo iz kože, nakar sta iz prepada skočila Pavlovec in mladi Sadar in stekla vsak na svojo stran za kulise.","Iz dvorane je bilo videti takole: ptice so streljale, močno je počilo, kadilo se je in smrdelo po smodniku, oder je bil prekrit z ometom in prahom, divji lovec Janez je padel in padel v prepad, nekdo drug je v breznu nečloveško zavijal, kot bi ga vrgli iz kože, nakar sta Pavlovec in mladi Sadar skočila iz prepada in stekla na svojo stran za kulise.","<pad> Iz dvorane je bila stvar videti takole: biriči so ustrelili, močno je počilo"
434,"Za zadnji znameniti dogodek tega imenitnega večera sta poskrbela Ogrizkov najstarejši in Marjana iz Podravčeve trgovine. Tudi njiju je pognala v mraz globoko občutena potreba po samoti, ampak izpod vseh kozolcev so ju odgnali tisti, ki so se tam ugnezdili že prej. Premražena sta se vrnila v dvorano in na plesišče na odru. Tam sta presrečna odkrila, da je za velikim platnenim ozadjem, kamor so bili pospravili kulise, še dovolj prostora za dva, ki jima za dosti prostora sploh ni. Nihče v dvorani ni opazil, da je v odmorih med plesom platnena pokrajina z grički in cerkvicami včasih živahno plahutala. Pritrjena je bila zgoraj na debel drog, spodaj pa je imela prav takega za obtežbo, da bi visela lepo napeto. Ali je kdo razmajal žeblje, ki so držali gornji drog ali pa so popustili sami od sebe, kakor koli že, v enem izmed odmorov med plesom je pokrajina spet zaplahutala, gornji drog se je odpel in griči in cerkvice so padli na tla z močnim ropotom. Vsa dvorana se je ozrla tja, kjer sta Ogrizkov in Marjana mežikala v nenadno svetlobo, in ju pozdravila s ploskanjem ter spodbudnimi klici.","Za zadnji znani dogodek tega velikega večera je poskrbela najstarejša Ogrizkova in Marjana iz Podravčeve trgovine. Na mraz jih je gnala tudi globoka potreba po samoti, toda od vseh kozolcev so jih pregnali tisti, ki so tam že prej gnezdili. Vrnili so se v dvorano in na plesišče na odru. Tam so bili presrečni, ko so odkrili, da je za velikim platnenim ozadjem, kjer so jih pospravili, še vedno dovolj prostora za dve sceni, za kateri sploh ni bilo prostora. Nihče v dvorani opazil, da je v premorih med plesom, platno pokrajina s hribi in cerkvami včasih plapolala močno. To je bil pritrjen na debelo palico na vrhu, in ena na dnu je bila samo teža, ki bi povzročila, da visi lepo napeta. Ali je bil nekdo ruffling nohti, ki je potekala zgornji pol ali izpustil svojo lastno soglasju, ne glede na primer, v enem od plesa zlomi pokrajina plapolal spet, zgornji pol odpeti, in hribi in cerkve padel na tla z glasnim ropotanje. Celotna dvorana se je ozrla nazaj na mesto, kjer sta Ogrizkov in Marjana v nenadni svetlobi pomežiknila, jima ploskala s pozdravom in spodbudnimi klici.",<pad> Za zadnji slavni dogodek tega imenitnega večera sta poskrbela Ogrizkov najstarejši in Marjana iz Podrav
435,"Repovž se je zasmejal: »Kaj veš, mogoče te pa še bom!«","Mož se je zasmejal: ""Kaj pa ti veš, mogoče pa bom?""","<pad> Repovž se je zasmejal: ""Kaj veš, mogoče te pa še bom?""</s>"
436,"»Razen mladih dveh, postopata po hiši pa nervozne nas delata,« je naglo odločil Sovinc. »Sani so zunaj, konji okomotani, samo vprežem jih, ob pravem času sta lahko nazaj.«","""razen dveh mladih ljudi, ki se sprehajata po hiši in nas delata nervozne,"" se je Sovinc hitro odločil. ""sani so zunaj, konji so privezani, jaz jih samo vprežem, lahko se vrnejo ob pravem času.""","<pad> ""Razen mladih dveh, postopata po hiši, ko so utrujeni, ko so na"
437,"»Nisem več divji lovec, udomačen sem. Rad te pa imam kakor prej.«","""nisem več divji lovec, udomačen sem, ampak te ljubim kot prej.""","<pad> ""Nisem več divji lovec, udomačen sem, rad te imam kakor prej."""
438,"Še dve uri zatem ali pa tri, kdo ve, sta Pavlovec in Majda dospela do četrtega prizora četrtega dejanja.","Še dve uri kasneje, ali tri, kdo ve, sta Pavlovec in Majda prišla do četrtega prizora četrtega dejanja.","<pad> Še dve uri zatem ali pa tri, je Pavlovec in Majda dospela do četrtega prizora"
439,"»Saj se morajo kmalu posušiti solze, ko bom vse izjokala, prav do zadnje, in potem bo moje oko suho in mrtvo,« je povedala Majda, vendar ne čisto tako žalostno, kot je bil predvidel pisatelj.","""Solze se morajo kmalu izsušiti, ko sem zavpil vse, vse do zadnjega, in potem bo moje oko suho in mrtvo,"" je dejala Majda, vendar ne tako žalostna, kot je napovedal pisatelj.","<pad> ""Saj se morajo kmalu posušiti solze, ko bom vse izjokala, prav do zadnje"
440,"Za njima je ostala prazna zidanica. Celo zimo bo samevala, kolikor je še do pomladi, le vino bo počasi zorelo v njej in orehi v rešetu.","Vinogradniška koča bo ostala prazna skozi vso zimo, tako dolgo, kot je do pomladi, le vino bo počasi dozori v njej in orehi v sito.",<pad> Za njima je ostala prazna zidanica. Vse poletje bo prazna zidanica. Vse poletje bo prazna
441,»Gremo?« je vprašal Vogaršek.,"""Pojdiva!"" je vprašal Vogaršek.","<pad> ""Gremo?"" je vprašal Vogaršek.</s>"
442,"Revček je zadovoljno krulil in rožljal z rilcem po koruzi v skledi, ne da bi se menil za oba Sadarja, ki sta trdno poprijela njegovi zadnji nogi, in Vogarška, ki je stal nad njim kakor da ga bo zajahal.","Revež je bil zadovoljen, da grunt in klopotec njegov prtljažnik nad koruzo v skledo, ignoriranje tako Sadar, ki je imel trdno oklepal na zadnjih nogah, in Vogar, ki je stal nad njim, kot če bi bil tekoč, da ga gori.",<pad> Revček je zadovoljno krulil in rožljal z rilcem po koruzi v
443,"Mladi Sadar je priletel s hrbtom ob leso, za katero se je v staji zadovoljno valjalo pet mladih svinj, jo zlomil, kot bi bila iz papirja, od bolečine živinsko zarjul, potem pa obležal pod koritom v staji sam in samoten, kajti svinje so se ga tako ustrašile, da so bliskovito planile čezenj, čez Sadarico in za merjascem ven.","Mladi Sadar letel s hrbtom v les, za katerimi je bilo pet mladih prašičev vsebine za roll, ga zlomil, kot če bi bila narejena iz papirja, rjovenje od bolečine, in nato ležala pod korito v stojnici sam in osamljen, za prašiči so bili tako strah njega, da so hitro planila nad njim, nad Sadarica in merjasca ven.","<pad> Mladi Sadar je priletel s hrbtom ob leso, za katero se je v staji"
